No.	Quantity	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier	Primary Category	Secondary Category	Pin Count	Comment	Name	Unique ID	Global Net Name	Description
1	1	C1	CAP-SMD_BD3.0-L3.3-W3.3-RD	470uF					Capacitors	Aluminum Electrolytic Capacitors - SMD	2	470uF	470uF	gge5		
2	1	C2	C0201	100nF					Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	2	100nF	100nF	gge6		
3	1	F1	FUSE-TH_L8.5-W4.0-P5.08-D0.6		5A/300V插件保险丝		C9900015390	LCSC			2	5A/300V插件保险丝	5A/300V插件保险丝	gge4		
4	1	HDR1	HDR-TH_40P-P2.54-V-F-R2-C20-S2.54		HEADER20x2/M		C9900111559	LCSC			40	HEADER20x2/M	HEADER20x2/M	gge11		
5	1	MQ2	HDR-TH_4P-P2.54-V-F		2.54-1*4P母	BOOMELE(博穆精密)	C2718488	LCSC	Connectors	Female Headers	4	2.54-1*4P母		gge7		
6	1	R1	R0603	100K					Resistors	Chip Resistor - Surface Mount	2	100K	100K	gge8		
7	1	R2	R0603	10K					Resistors	Chip Resistor - Surface Mount	2	10K	10K	gge9		
8	1	R3	R0603	1K					Resistors	Chip Resistor - Surface Mount	2	1K	1K	gge9_1		
9	1	R4	R0603	2K					Resistors	Chip Resistor - Surface Mount	2	2K	2K	gge9_2		
10	1	RFID	HDR-TH_8P-P2.54-V-M						Connectors	Pin Headers	8	HDR-M_2.54_1x8P		gge10		
11	3	U1,U2,U3	CONN-TH_P5.00_KF301-5.0-2P		KF301-5.0-2P	KEFA(科发)	C474881	LCSC	Connectors	Screw Terminal Blocks	2	KF301-5.0-2P	KF301-5.0-2P	gge1,gge2,gge3		Number of Positions or Pins:1x2P Pitch:5mm Color:Blue Mounting Type:Through Hole Number of Pins:2P Number of Rows:1 Number of PINs Per Row:2 Current Rating:17A Voltage Rating (Max):250V Wire Gauge - AWG:14~22 Wire Gauge - mm2:1.5 Wire Gauge - mm2:1.5 Oper
12	1	U4	VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL		ADS1115QDGSRQ1	TI(德州仪器)	C172375	LCSC	Data Acquisition	Analog to Digital Converters (ADC)	10	ADS1115QDGSRQ1	ADS1115QDGSRQ1	gge14		
13	1	U5	CONN-TH_P5.00_KF301-5.0-2P		\"+5V DC — Entrada do Regulador XL4016 Externo	KEFA(科发)	C474881	LCSC	Connectors	Screw Terminal Blocks	2	\"+5V DC — Entrada do Regulador XL4016 Externo	\"+5V DC — Entrada do Regulador XL4016 Externo	gge15		Number of Positions or Pins:1x2P Pitch:5mm Color:Blue Mounting Type:Through Hole Number of Pins:2P Number of Rows:1 Number of PINs Per Row:2 Current Rating:17A Voltage Rating (Max):250V Wire Gauge - AWG:14~22 Wire Gauge - mm2:1.5 Wire Gauge - mm2:1.5 Oper
14	1	U_LCD	HDR-TH_HDR-M_2.54_1X4P		HDR-M_2.54_1x4P		C9900236824	LCSC			4	HDR-M_2.54_1x4P	HDR-M_2.54_1x4P	gge13		
